trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,r_dollars,pnl,exit_price,exit_reason,date,month,R
22,2026-02-05 07:15:00+00:00,USDJPY,BUY,157.105,0.18,156.914,,london_breakout,0.65,22.65642,-22.65642,156.914,stop_loss,2026-02-05,2026-02,-1.0
23,2026-02-06 08:00:00+00:00,USDJPY,BUY,156.933,0.18,156.735,,london_breakout,0.65,23.48676,-0.8303399999976276,156.92600000000002,time_stop,2026-02-06,2026-02,-0.03535353535343434
24,2026-02-13 07:00:00+00:00,USDJPY,BUY,153.461,0.18,153.119,,london_breakout,0.65,40.56804,-27.2826,153.231,time_stop,2026-02-13,2026-02,-0.6725146198830408
25,2026-02-16 07:10:00+00:00,USDJPY,BUY,153.277,0.18,153.0345,,london_breakout,0.65,28.76535,14.47164,153.399,time_stop,2026-02-16,2026-02,0.5030927835051546
26,2026-02-17 07:10:00+00:00,USDJPY,SELL,152.839,0.18,153.2115,,london_breakout,0.65,44.18595,-22.89366,153.032,time_stop,2026-02-17,2026-02,-0.5181208053691275
27,2026-02-18 08:00:00+00:00,USDJPY,BUY,153.705,0.18,153.3875,,london_breakout,0.65,37.66185,26.215020000002372,153.92600000000002,time_stop,2026-02-18,2026-02,0.6960629921260473
28,2026-02-20 07:55:00+00:00,USDJPY,BUY,155.499,0.18,155.2595,,london_breakout,0.65,28.40949,-28.40949,155.2595,stop_loss,2026-02-20,2026-02,-1.0
29,2026-02-23 07:10:00+00:00,USDJPY,BUY,154.546,0.18,154.29500000000002,,london_breakout,0.65,29.773619999997628,31.19706,154.809,time_stop,2026-02-23,2026-02,1.0478087649403225
30,2026-02-24 07:05:00+00:00,USDJPY,BUY,155.44000000000003,0.18,155.0935,,london_breakout,0.65,41.10183000000237,47.44799999999763,155.84,time_stop,2026-02-24,2026-02,1.15440115440103
31,2026-02-25 08:10:00+00:00,USDJPY,BUY,156.046,0.18,155.695,,london_breakout,0.65,41.63562,80.78022,156.727,time_stop,2026-02-25,2026-02,1.94017094017094
32,2026-02-27 07:15:00+00:00,USDJPY,BUY,156.018,0.18,155.791,,london_breakout,0.65,26.92674,-3.79584,155.986,time_stop,2026-02-27,2026-02,-0.14096916299559473
33,2026-03-02 08:00:00+00:00,USDJPY,BUY,157.042,0.17,156.6105,,london_breakout,0.65,48.340945,50.52553,157.493,time_stop,2026-03-02,2026-03,1.0451911935110083
34,2026-03-03 09:20:00+00:00,USDJPY,BUY,157.6,0.18,157.387,,london_breakout,0.65,25.26606,27.51984,157.832,time_stop,2026-03-03,2026-03,1.0892018779342723
35,2026-03-04 09:40:00+00:00,USDJPY,SELL,157.126,0.18,157.46949999999998,,london_breakout,0.65,40.74596999999763,-12.09924,157.228,time_stop,2026-03-04,2026-03,-0.2969432314410653
36,2026-03-05 07:55:00+00:00,USDJPY,BUY,157.259,0.18,156.8545,,london_breakout,0.65,47.98179,59.54724,157.761,time_stop,2026-03-05,2026-03,1.2410383189122374
37,2026-03-09 09:30:00+00:00,USDJPY,SELL,158.27,0.19,158.56849999999997,,london_breakout,0.65,37.37518499999624,-37.37518499999624,158.56849999999997,stop_loss,2026-03-09,2026-03,-1.0
38,2026-03-10 07:20:00+00:00,USDJPY,SELL,157.41,0.18,157.6535,,london_breakout,0.65,28.88397,-28.88397,157.6535,stop_loss,2026-03-10,2026-03,-1.0
39,2026-03-11 08:40:00+00:00,USDJPY,BUY,158.408,0.18,158.14,,london_breakout,0.65,31.790159999998817,26.92674,158.635,time_stop,2026-03-11,2026-03,0.8470149253731658
40,2026-03-12 08:00:00+00:00,USDJPY,SELL,158.75,0.18,158.979,,london_breakout,0.65,27.16398,-27.16398,158.979,stop_loss,2026-03-12,2026-03,-1.0
